Transaction ID,Event name,Number of purchased tickets,Total amount,Sales channel,Customer first name,Customer last name,Office location,Created Date
100000126,Ultimate Concert Port Ryan 2019,1,105.06,web,Katelyn,Jones,New York Office,2020-03-01
100000127,Elite Summit Allenton 2019,5,950.8,mobile_app,Alexandra,Reynolds,New York Office,2020-03-01
100000128,Annual Concert Brandonborough 2019,1,167.06,mobile_app,Sandra,Williams,New York Office,2020-03-01
100000129,Premier Showcase East Martin 2020,3,581.19,web,Robyn,Bryant,New York Office,2020-03-01
100000130,Premier Experience West Kayla 2019,2,394.96,web,Alexander,Bowen,New York Office,2020-03-01
100000131,Annual Festival Haasland 2020,1,124.41,mobile_app,Janice,Dennis,New York Office,2020-03-01
100000132,Premier Championship New Sandra 2020,4,485.6,web,Lindsey,Sherman,New York Office,2020-03-01
100000133,Annual Concert South Sarahland 2020,1,85.44,web,Robert,Wong,New York Office,2020-03-01
100000134,World Expo Lake Amber 2020,1,98.37,web,Lisa,Fisher,New York Office,2020-03-01
100000135,Annual Tournament South Kathyview 2020,2,200.88,on_site,Juan,Weber,New York Office,2020-03-01
100000136,Grand Festival Powellmouth 2019,1,109.55,web,Shannon,Jenkins,New York Office,2020-03-01
100000137,National Festival Porterburgh 2019,2,352.12,web,Danielle,Byrd,New York Office,2020-03-01
100000138,Premier Experience West Kayla 2019,1,99.77,web,Reginald,Stewart,New York Office,2020-03-01
100000139,Ultimate Tournament Lake Melissashire 2019,2,356.74,on_site,Jessica,Garcia,New York Office,2020-03-01
100000140,World Awards New Johnfurt 2020,1,152.51,web,Kenneth,Villa,New York Office,2020-03-01
100000141,National Championship Rogersport 2019,1,45.97,web,James,Hart,New York Office,2020-03-01
100000142,National Expo New James 2020,1,41.01,web,Monica,Smith,New York Office,2020-03-01
100000143,World Expo New Peter 2020,1,150.14,mobile_app,Howard,Meza,New York Office,2020-03-01
100000144,Elite Tournament North Anthonymouth 2020,1,176.13,mobile_app,Rita,Simmons,New York Office,2020-03-01
100000145,International Concert Ramosview 2019,3,303.75,web,John,Duncan,New York Office,2020-03-01
100000146,Global Showcase Lake Ashleyberg 2020,1,94.5,mobile_app,Angela,Williams,New York Office,2020-03-01
100000147,Elite Showcase Sydneyport 2020,2,579.22,web,Mallory,Green,New York Office,2020-03-01
100000148,Premier Concert North Kristina 2020,5,523.75,web,Christopher,Villanueva,New York Office,2020-03-01
100000149,Global Tournament Lopezhaven 2019,1,171.24,mobile_app,Jesse,Dyer,New York Office,2020-03-01
100000150,World Expo New Peter 2020,1,173.86,web,Heather,Bell,New York Office,2020-03-01
