Transaction ID,Event name,Number of purchased tickets,Total amount,Sales channel,Customer first name,Customer last name,Office location,Created Date
100000151,City Festival West Jeffreyburgh 2019,1,145.38,mobile_app,Robert,Berger,California Office,2020-04-01
100000152,International Tournament Gravesville 2020,1,185.72,web,Tiffany,Gordon,California Office,2020-04-01
100000153,Elite Conference Lake Kristenburgh 2019,4,671.04,web,Kenneth,Armstrong,California Office,2020-04-01
100000154,Global Conference Jeffreyside 2020,2,281.98,on_site,Crystal,Smith,California Office,2020-04-01
100000155,Elite Tournament Waterston 2020,3,300.75,web,Laura,Hunter,California Office,2020-04-01
100000156,International Tournament Lake Sandramouth 2020,2,367.48,web,Gregory,Mcgrath,California Office,2020-04-01
100000157,City Concert Melissastad 2019,1,43.68,web,Brian,Smith,California Office,2020-04-01
100000158,Annual Tournament Anthonyport 2020,1,157.09,web,Martin,Carter,California Office,2020-04-01
100000159,Grand Tournament South Michaelfurt 2019,1,41.05,on_site,Nicole,Ford,California Office,2020-04-01
100000160,World Tournament Port Denisestad 2019,2,433.98,mobile_app,Jesus,Rodriguez,California Office,2020-04-01
100000161,Annual Championship Timothyfort 2020,1,59.21,web,Lawrence,Hatfield,California Office,2020-04-01
100000162,Premier Championship New Garystad 2019,5,659.85,web,Teresa,Sullivan,California Office,2020-04-01
100000163,Grand Championship South Jasonhaven 2019,4,701.16,web,Miranda,Smith,California Office,2020-04-01
100000164,City Concert Port Vernon 2020,3,709.2,web,Richard,Brandt,California Office,2020-04-01
100000165,Elite Awards Breannaton 2020,1,77.8,web,Corey,Davis,California Office,2020-04-01
100000166,Grand Summit East Triciaberg 2020,2,279.9,web,Joseph,Mann,California Office,2020-04-01
100000167,Ultimate Festival Lisaborough 2020,1,111.71,mobile_app,Kevin,Perez,California Office,2020-04-01
100000168,City Summit Jonesland 2019,1,287.52,web,Leslie,Carter,California Office,2020-04-01
100000169,National Festival Duncanport 2020,1,116.06,web,Matthew,Kelly,California Office,2020-04-01
100000170,Annual Concert Josephview 2020,1,270.0,web,Stacy,Johnson,California Office,2020-04-01
100000171,Annual Championship Timothyfort 2020,1,93.77,web,Jeffrey,Russell,California Office,2020-04-01
100000172,City Festival Tashachester 2019,6,1148.46,on_site,Maria,Rodriguez,California Office,2020-04-01
100000173,Premier Conference Josephborough 2020,1,74.56,mobile_app,Patricia,Ferguson,California Office,2020-04-01
100000174,Premier Tournament Stephanieport 2019,3,389.37,web,Yolanda,Miller,California Office,2020-04-01
100000175,Elite Summit New Beth 2019,1,95.06,mobile_app,Deborah,Alvarez,California Office,2020-04-01
