Transaction ID,Event name,Number of purchased tickets,Total amount,Sales channel,Customer first name,Customer last name,Office location,Created Date
100000076,City Festival Kimstad 2019,1,145.38,mobile_app,Ashley,Holmes,California Office,2020-02-01
100000077,International Tournament Port Brandi 2020,1,185.72,web,Elizabeth,Thompson,California Office,2020-02-01
100000078,Elite Conference Allenstad 2019,4,671.04,web,Laura,Meyer,California Office,2020-02-01
100000079,Global Conference Karlabury 2020,2,281.98,on_site,Steven,Sparks,California Office,2020-02-01
100000080,Elite Tournament New Lindsayshire 2020,3,300.75,web,John,Maxwell,California Office,2020-02-01
100000081,International Tournament Torresstad 2020,2,367.48,web,Judy,Obrien,California Office,2020-02-01
100000082,City Concert North Derekville 2019,1,43.68,web,Christopher,Hart,California Office,2020-02-01
100000083,Annual Tournament Matthewfurt 2020,1,157.09,web,Anna,Kane,California Office,2020-02-01
100000084,Grand Tournament East Amymouth 2019,1,41.05,on_site,Dana,Lopez,California Office,2020-02-01
100000085,World Tournament Jesseland 2019,2,433.98,mobile_app,Kimberly,Salinas,California Office,2020-02-01
100000086,Annual Championship South Jessefort 2020,1,59.21,web,Justin,Frederick,California Office,2020-02-01
100000087,Premier Championship West Dale 2019,5,659.85,web,Jennifer,Lee,California Office,2020-02-01
100000088,Grand Championship Seanshire 2019,4,701.16,web,Mark,Rodriguez,California Office,2020-02-01
100000089,City Concert Brookston 2020,3,709.2,web,Brittany,Green,California Office,2020-02-01
100000090,Elite Awards Bendermouth 2020,1,77.8,web,Julie,Dunlap,California Office,2020-02-01
100000091,Grand Summit Gutierrezhaven 2020,2,279.9,web,Joshua,Landry,California Office,2020-02-01
100000092,Ultimate Festival Donnaside 2020,1,111.71,mobile_app,Jason,Young,California Office,2020-02-01
100000093,City Summit Grimesberg 2019,1,287.52,web,Krystal,Mills,California Office,2020-02-01
100000094,National Festival West Brittany 2020,1,116.06,web,Charles,Sanchez,California Office,2020-02-01
100000095,Annual Concert Washingtonburgh 2020,1,270.0,web,Stephanie,Harper,California Office,2020-02-01
100000096,Annual Championship South Jessefort 2020,1,93.77,web,Lisa,Grimes,California Office,2020-02-01
100000097,City Festival East Dannyland 2019,6,1148.46,on_site,Paul,Mathis,California Office,2020-02-01
100000098,Premier Conference Lake Billy 2020,1,74.56,mobile_app,Amy,Dean,California Office,2020-02-01
100000099,Premier Tournament Lake Lisaland 2019,3,389.37,web,Christopher,Wilson,California Office,2020-02-01
100000100,Elite Summit West Courtney 2019,1,95.06,mobile_app,James,Gonzalez,California Office,2020-02-01
