Transaction ID,Event name,Number of purchased tickets,Total amount,Sales channel,Customer first name,Customer last name,Office location,Created Date
100000101,Elite Concert New Tylerbury 2020,2,257.58,web,Eric,Hill,Texas Office,2020-02-15
100000102,City Showcase East Markborough 2020,1,161.15,mobile_app,Paul,Moon,Texas Office,2020-02-15
100000103,Global Championship Lake Jeffreyport 2019,1,270.0,web,Tony,Mitchell,Texas Office,2020-02-15
100000104,Premier Summit New Amberborough 2020,2,313.56,web,Erin,Farmer,Texas Office,2020-02-15
100000105,Premier Experience West Richard 2020,1,198.87,web,Brittany,Reed,Texas Office,2020-02-15
100000106,City Festival New Pamelaberg 2019,1,141.62,mobile_app,Roy,Hubbard,Texas Office,2020-02-15
100000107,City Tournament Vegahaven 2019,3,259.32,web,Robert,Jones,Texas Office,2020-02-15
100000108,Elite Concert New Tylerbury 2020,1,212.64,web,Jamie,Jordan,Texas Office,2020-02-15
100000109,World Showcase South Sarah 2020,2,104.94,web,Kathy,Torres,Texas Office,2020-02-15
100000110,National Concert South Michaelside 2019,1,179.25,web,Nathan,Jackson,Texas Office,2020-02-15
100000111,Global Festival Boothberg 2019,2,398.72,web,Rachel,Tyler,Texas Office,2020-02-15
100000112,World Tournament Lopezside 2019,1,198.78,web,Carmen,Howard,Texas Office,2020-02-15
100000113,Global Expo New Amyview 2019,1,146.35,on_site,Julie,Thomas,Texas Office,2020-02-15
100000114,Ultimate Concert Lake Sarastad 2019,1,55.82,web,Valerie,Davidson,Texas Office,2020-02-15
100000115,Premier Festival West Jamesfort 2019,1,147.4,on_site,Brandi,Mcgee,Texas Office,2020-02-15
100000116,Grand Tournament Lake Brianburgh 2020,1,143.91,web,Jacob,Burns,Texas Office,2020-02-15
100000117,Grand Conference Franciscostad 2020,2,231.58,mobile_app,Tammy,Salas,Texas Office,2020-02-15
100000118,International Tournament South Timothy 2019,1,61.27,mobile_app,Kristen,Simmons,Texas Office,2020-02-15
100000119,Premier Tournament Port Adrienne 2020,1,145.99,on_site,Robert,Humphrey,Texas Office,2020-02-15
100000120,Premier Concert Nathanielside 2019,1,220.8,web,Allison,Buchanan,Texas Office,2020-02-15
100000121,Annual Experience West Carrie 2020,1,209.57,web,Jeffrey,Barrett,Texas Office,2020-02-15
100000122,Ultimate Experience Lake Deborahfort 2019,1,115.98,web,Sierra,Aguilar,Texas Office,2020-02-15
100000123,City Showcase Shelbyport 2019,4,792.88,web,Jessica,Wright,Texas Office,2020-02-15
100000124,Grand Festival Jensenstad 2019,2,431.3,mobile_app,Jody,Stevens,Texas Office,2020-02-15
100000125,Elite Concert Burtonshire 2019,1,142.08,web,Tamara,Kim,Texas Office,2020-02-15
